denominal_verb,relation class,candidate_verb_0,candidate_verb_1,candidate_verb_2,denominal_utterance,paraphrase_utterance,,,
漆,locatum_on,涂 18,抹 19,搬 0,我在漆墙。,我在把油漆__在墙上。,,,
尿,locatum_on,流出 2,排泄 14,喷 1,我尿床了。,我把尿__在床上了。,弄 2,射 6,
糊,locatum_on,抹 20,涂 11,喷 0,我在糊墙。,我把浆糊__在墙上。,,,
盖,locatum_on,扣 20,放 3,背 0,我把锅盖上了。,我把盖子__在了锅上。,罩 1,,
垫,locatum_on,放 17,铺 13,填充 4,我垫了椅子。,我把垫子__在了椅子上。,盖 2,,
冰,locatum_on,投 0,放 14,敷 12,我冰了一下伤口。,我把冰__在了伤口上。,塞 1,压 3,
缝,location_on,连缀 9,补 15,填 2,我给伤口缝了线。,我把线__在了伤口的缝上。,,,
背,location_on,负担  10,挑 18,记 0,我背着书包。,我把书包__在背上。,,,
顶,location_on,支撑 0,抵 0,承受 0,我顶着帽子。,我把帽子_在头顶。,戴 17,扣 2,
套,location_on,装 11,收 3,纳 3,我套住了一只虫子。,我把一只虫子__在了套子里。,藏 4,,
圈,location_on,养 20,关 19,押 0,我圈了几头猪。,我把几头猪__在圈里。,,,
包,location_on,裹 17,装 16,盖 1,我包着一本书。,我把一本书__在包里。,,,
怀,location_on,藏 0,装 4,拥有 20,我胸怀大志。,我的胸怀里__远大的志向。,,,
卫,agent,保护 18,守护 19,清理 0,我守卫着这个地方。,我像一个卫兵一样__这这个地方。,,,
挑,instrumental,选 1,挂 4,支撑 5,我挑着担子。,我用挑子__着担子。,扛 12,,
钻,instrumental,穿透 18,打穿 16,研究 0,我在木板上钻了一个孔。,我用钻头在木板上__了一个孔。,,,
担,instrumental,负 2,承受 3,挑 17,我担着水。,我用担子__着水。,,,
磨,instrumental,磋 3,摩擦 5,消耗 0,我在磨面粉。,我用磨盘__面粉。,研 12,做 17,
筛,instrumental,分离 6,选择 13,倒 0,我在筛米。,我在用筛子_米。,淘 5,,
拍,instrumental,打 20,压 0,冲 0,我拍死了一只苍蝇。,我用拍子__了一只苍蝇。,,,
刷,instrumental,洗 0,涂抹 20,冲 0,我在刷油漆。,我在用刷子__油漆。,,,
称,instrumental,衡量 4,测量 18,举 0,我称了一下体重。,我用秤__了一下体重。,,,
梳,instrumental,放 0,划 0,整理 19,我在梳头发。,我用梳子__头发。,,,
叉,instrumental,捅 3,串 4,扎 14,我在叉稻草。,我在用叉子__稻草。,,,
铲,instrumental,清理 7,削 2,搓 10,我在铲土。,我在用铲子__土。,,,
锁,instrumental,封 1,关 18,闭合 0,我把自己锁在屋子里。,我用锁把自己__在屋子里。,,,
锯,instrumental,截断 20,砍 9,剖开 6,我锯断了树干。,我用锯子__了树干。,,,
钳,instrumental,限制 2,夹 17,束 5,我钳着螺母。,我用钳子__着螺母。,,,
凿,instrumental,挖 9,打 17,刺穿 11,我在墙上凿了一个洞。,我用凿子在墙上__了一个洞。,,,
钩,instrumental,编织 0,悬挂 15,探取 1,我钩着一件衣服。,我用钩子__着一件衣服。,,,
视频,instrumental,交谈 6,对话 5,录制 0,我和父母视频。,我和父母通过视频__。,聊天 7,说话 3,讲话 1
画,goal,描绘 12,摹写 7,书写 2,我画了一个人像。,我把一个人__成了一幅画。,,,
卷,goal,裹挟 1,弯曲 3,转 8,我把凉席卷了起来。,我把凉席__成了一卷。,弄 7,搞 10,
叠,goal,折 14,累积 0,堆积 3,我把被子叠了起来。,我把被子__成了一叠。,,,
折,goal,弯曲15,断裂 0,死亡 0,我在书上折了一个角。,我把书__使得它出现了折痕。,弄皱 2,,
包,goal,裹17,盖 1,装 3,我包着一本书。,我把书用布__成包的形状。,,,
串,goal,混杂 1,连接 15,叉 3,我把糖葫芦串了起来。,我把糖葫芦__成了一串。,,,
架,goal,放置 0,承受 3,支撑 17,我架着老奶奶上楼。,我像支架一样__着老奶奶上楼。,,,
捆,goal,束 6,绑 17,编织  0,我把柴火捆了起来。,我把柴火__成了一捆。,,,
束,goal,捆 20,系 19,连接 0,我把头发束了起来。,我把头发__成了一束。,,,
皱,goal,收缩 7,搓 0,揉 2,我皱了一下眉。,我的眉毛__了一下并出现了皱纹。,弯 3,挤 5,蹙 1
间,goal,隔断 2,退出 0,挑拨 19,他离间我们俩。,他__我们俩使我们俩出现了间隙。,破坏 1,,
